SubAreaId,TimeStamp,airTemperature,surfaceTemperature,waterThickness,friction
101,2016-12-02 00:00:00,-0.4119402985074627,-3.264402985074627,0.11892910447761194,0.6858955223880597
301,2016-12-02 10:00:00,-0.9578947368421052,-4.039289473684211,0.20147368421052633,0.6285263157894737
103,2016-12-02 00:00:00,0.6623901581722319,-2.692750439367311,0.10093585237258347,0.6476186291739895
401,2016-12-02 10:00:00,-1.3114327062228652,-4.406946454413893,0.2416353111432706,0.4371490593342981
302,2016-12-02 10:00:00,-0.9,-4.2524999999999995,0.437,0.6525000000000001
104,2016-12-02 00:00:00,-0.6051798561151079,-3.064129496402878,0.18887050359712232,0.6323741007194245
104,2016-12-02 10:00:00,-1.0,-2.85,0.183,0.23
402,2016-12-02 10:00:00,-1.3025812619502868,-3.8747227533460804,0.23316539196940728,0.309282982791587
105,2016-12-02 00:00:00,0.5467178770949721,-4.257506983240224,0.1297758379888268,0.4815782122905028
304,2016-12-02 10:00:00,-1.2103277060575968,-4.299980139026812,0.20937140019860973,0.6646772591857001
404,2016-12-02 10:00:00,-1.083771043771044,-3.9520942760942757,0.1839690235690236,0.48375084175084176
405,2016-12-02 10:00:00,-1.3108196721311476,-4.738065573770491,0.3092,0.3087213114754098
101,2016-12-09 00:00:00,3.9,0.6268663594470046,0.1405115207373272,0.5950691244239631
101,2016-12-09 02:00:00,3.7648910411622274,0.6011138014527845,0.17869975786924938,0.6304358353510896
301,2016-12-09 00:00:00,3.958064516129032,0.7632258064516129,0.17258211143695013,0.6828152492668622
301,2016-12-09 02:00:00,3.5699453551912566,0.7787431693989071,0.3178251366120219,0.6692896174863389
401,2016-12-09 00:00:00,3.726385224274406,0.5607519788918206,0.3084182058047493,0.6687335092348284
402,2016-12-09 00:00:00,3.5900000000000003,0.49333333333333335,0.13648787878787877,0.7137878787878789
304,2016-12-09 00:00:00,3.85097037793667,0.570388151174668,0.7365097037793668,0.6805005107252299
404,2016-12-09 00:00:00,3.602118644067797,0.4797033898305085,0.6441398305084746,0.6775918079096045
405,2016-12-09 00:00:00,3.4529134785167748,0.3458975868157739,0.24502177751618598,0.7052148322542672
101,2016-12-09 02:00:00,3.5898305084745763,0.9776271186440678,0.19191525423728814,0.6771186440677966
301,2016-12-09 02:00:00,3.6174999999999997,1.0991388888888889,0.15101666666666666,0.6881111111111111
302,2016-12-09 02:00:00,3.6187134502923977,0.9081676413255361,0.15779727095516569,0.6835867446393762
601,2016-12-09 02:00:00,3.688401253918496,1.0325078369905956,0.15333542319749216,0.6886677115987461
602,2016-12-09 02:00:00,3.7644859813084115,0.814898753894081,0.1427764797507788,0.688917445482866
701,2016-12-09 02:00:00,3.6995180722891563,0.7505180722891566,0.16382650602409637,0.6866144578313252
702,2016-12-09 02:00:00,3.6582043343653248,0.5153869969040248,0.12480804953560372,0.6919504643962847
204,2016-12-27 10:00:00,1.4220338983050846,-2.2609322033898307,0.07783050847457626,0.7160169491525423
205,2016-12-27 08:00:00,0.7,-3.4576136363636363,0.1302840909090909,0.7069318181818182
205,2016-12-27 10:00:00,1.0727941176470588,-3.3405147058823528,0.14345588235294118,0.6694117647058823
101,2016-12-28 00:00:00,0.6088235294117647,-1.2726470588235295,0.15804411764705883,0.7027941176470588
202,2016-12-28 00:00:00,0.39061093247588424,-2.314610932475884,0.2520514469453376,0.5270096463022508
103,2016-12-28 00:00:00,0.4,-2.4046043165467625,0.09284892086330936,0.5710071942446043
104,2016-12-28 00:00:00,0.35539070227497527,-2.3262017804154302,0.1610593471810089,0.6249554896142433
101,2016-12-28 00:00:00,0.7604651162790698,-1.8360714285714286,0.08503654485049834,0.7106063122923587
101,2016-12-28 02:00:00,1.153074433656958,-1.330809061488673,0.03416504854368932,0.733915857605178
301,2016-12-28 00:00:00,1.2382882882882882,-1.7170270270270271,0.07249099099099099,0.6804054054054055
301,2016-12-28 02:00:00,1.2000000000000002,-1.595098814229249,0.10080632411067195,0.5583794466403162
302,2016-12-28 02:00:00,0.9025531914893616,-1.3433191489361702,0.0716468085106383,0.6993191489361702
303,2016-12-28 02:00:00,1.0635576923076924,-1.5025096153846154,0.1728201923076923,0.539048076923077
601,2016-12-28 02:00:00,0.8093939393939394,-1.9488939393939393,0.15728636363636364,0.4708636363636363
602,2016-12-28 02:00:00,0.9466933867735472,-1.1851002004008016,0.08225551102204408,0.6405410821643287
701,2016-12-28 02:00:00,1.117379679144385,-1.526229946524064,0.19235561497326203,0.5225401069518717
702,2016-12-28 02:00:00,1.2904040404040404,-1.5554040404040406,0.10718686868686868,0.4168686868686869
203,2016-12-01 06:00:00,0.8166666666666667,-1.691950354609929,0.20675531914893616,0.6285460992907801
401,2016-12-01 06:00:00,1.452252252252252,-1.2168468468468467,0.15544144144144145,0.594954954954955
302,2016-12-01 06:00:00,0.5712727272727273,-0.3515636363636364,0.38132,0.43754545454545457
402,2016-12-01 04:00:00,-2.0444444444444447,-3.2630158730158727,0.21996825396825398,0.3649206349206349
402,2016-12-01 06:00:00,0.007615894039735107,-1.2948344370860927,0.1523476821192053,0.6380132450331126
204,2016-12-01 06:00:00,0.8,-1.693142857142857,0.39662857142857144,0.26157142857142857
303,2016-12-01 06:00:00,0.32596153846153847,-0.3544230769230769,0.15150961538461538,0.6566346153846153
205,2016-12-01 04:00:00,-2.4917834702754953,-3.277114548090865,0.40200579990333496,0.24162880618656357
403,2016-12-01 06:00:00,0.5416851441241686,-0.7703769401330377,0.1176829268292683,0.6939467849223946
