SubAreaId,TimeStamp,airTemperature,surfaceTemperature,waterThickness,friction
101,2017-01-04 02:00:00,-4.2,-4.45375,0.2155625,0.365
103,2017-01-04 02:00:00,-4.196261682242991,-4.534034267912772,0.010520249221183801,0.3047663551401869
104,2017-01-04 02:00:00,-4.180645161290323,-4.332016129032258,0.2541048387096774,0.2916129032258064
105,2017-01-04 02:00:00,-4.195625759416768,-4.6099027946537054,0.004441069258809234,0.28178614823815307
101,2017-01-04 02:00:00,-4.401538461538462,-5.101,0.12723846153846155,0.2834615384615385
301,2017-01-04 02:00:00,-4.902857142857144,-5.022285714285714,0.3032904761904762,0.3381428571428572
104,2017-01-04 02:00:00,-4.785106382978723,-4.909574468085107,0.2253218085106383,0.300531914893617
401,2017-01-04 04:00:00,-5.219409282700422,-5.650464135021098,0.23761181434599157,0.2644303797468355
304,2017-01-04 02:00:00,-4.907317073170732,-5.402073170731708,0.26176016260162605,0.30256097560975614
304,2017-01-04 04:00:00,-5.060126582278481,-5.381856540084388,0.2355590717299578,0.2865400843881856
401,2017-01-04 04:00:00,-5.811884057971014,-5.988782608695653,0.1368086956521739,0.22617391304347825
402,2017-01-04 04:00:00,-5.863375224416517,-6.422423698384201,0.12026211849192102,0.23213644524236987
404,2017-01-04 04:00:00,-5.783127572016461,-5.671802469135803,0.2068798353909465,0.24626337448559668
405,2017-01-04 04:00:00,-6.251515151515151,-7.027979797979798,0.1116868686868687,0.23255050505050506
203,2017-01-04 04:00:00,-7.026582278481013,-7.650822784810126,0.12991983122362868,0.20227848101265825
204,2017-01-04 04:00:00,-7.301960784313726,-7.85797385620915,0.12478758169934641,0.21416666666666664
304,2017-01-04 04:00:00,-7.010440456769983,-7.179869494290376,0.14216476345840132,0.30187601957585647
101,2017-01-08 06:00:00,0.24,-2.323125,0.1789875,0.315375
202,2017-01-08 04:00:00,-0.43941109852774635,-2.7640883352208383,0.2203890147225368,0.3179898074745187
103,2017-01-08 06:00:00,0.2339622641509434,-2.1774528301886793,0.17957547169811322,0.31698113207547174
104,2017-01-08 04:00:00,-0.5252991452991453,-2.379948717948718,0.2223794871794872,0.33292307692307693
104,2017-01-08 06:00:00,0.04510385756676558,-2.445445103857567,0.1650519287833828,0.3327299703264095
101,2017-01-08 06:00:00,0.5428211586901763,-2.1361209068010076,0.15258438287153653,0.3376826196473552
301,2017-01-08 06:00:00,0.3317548746518106,-2.0390529247910862,0.15894986072423398,0.33518105849582175
302,2017-01-08 06:00:00,-0.13801980198019803,-1.489831683168317,0.1506069306930693,0.3161287128712871
601,2017-01-08 06:00:00,-0.40635245901639344,-0.8080840163934426,0.15568545081967214,0.3097848360655738
602,2017-01-08 06:00:00,-0.1968954248366013,-0.5926960784313726,0.15829084967320262,0.31
701,2017-01-08 06:00:00,0.0,-0.4853024193548387,0.16102620967741935,0.31
702,2017-01-08 06:00:00,-0.032,-0.5132,0.1599657142857143,0.31
203,2017-01-16 00:00:00,-4.911250000000001,-4.79975,0.16126875000000002,0.2011875
203,2017-01-16 10:00:00,-4.972527472527473,-4.784010989010989,0.2325164835164835,0.2153846153846154
204,2017-01-16 10:00:00,-5.041436464088398,-4.66255985267035,0.27615101289134436,0.25524861878453037
304,2017-01-16 00:00:00,-5.171374622356495,-4.7831873111782475,0.1819214501510574,0.39833081570996975
303,2017-01-16 00:00:00,-5.5,-4.0168965517241375,0.04124137931034483,0.71
101,2017-01-16 00:00:00,-4.7,-4.425035971223022,0.17692805755395682,0.6464028776978417
301,2017-01-16 00:00:00,-5.219940476190477,-3.619047619047619,0.14226785714285714,0.5092261904761904
104,2017-01-16 00:00:00,-4.736619718309859,-4.342845070422535,0.293256338028169,0.6315774647887324
101,2017-01-16 00:00:00,-4.6,-4.559655172413793,0.3797931034482758,0.32482758620689656
103,2017-01-16 00:00:00,-4.37047913446677,-4.242503863987635,0.14329829984544049,0.6571251931993817
104,2017-01-16 00:00:00,-4.6,-4.382954545454545,0.14006818181818181,0.6968181818181818
105,2017-01-16 00:00:00,-4.183551967709384,-4.595761856710393,0.1448476286579213,0.6516548940464177
103,2017-01-16 00:00:00,-4.5,-4.131052631578947,0.08978947368421053,0.7094736842105263
103,2017-01-16 02:00:00,-4.461509433962264,-3.914452830188679,0.15231698113207545,0.5297735849056603
